id,career_family,career,institution,location,institution_type,management_type,duration_years,annual_cost,admission_rate,monthly_income,scholarships,admitted,applicants,enrolled,duration_imputed_flag,monthly_income_imputed_flag,annual_cost_imputed_flag,admission_rate_imputed_flag,duration_years_imputed,monthly_income_imputed,annual_cost_imputed,admission_rate_imputed,income_score,admission_score,cost_score,duration_score
669,Turismo,Guía Oficial de Turismo,Cevatur- Arequipa,Arequipa     ,Instituto,Privada,3.0,3000.0,66.0,0.0,NO,10.0,15.0,65.0,False,True,False,False,3.0,1672.5,3000.0,66.0,0.10848967216221338,0.002687296416938111,0.9077774362127267,0.9811320754716981
670,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Administración de Servicios de Hostelería,Cevatur Ica,Ica          ,Instituto,Privada,3.0,3300.0,100.0,0.0,NO,3.0,3.0,8.0,False,True,False,False,3.0,2087.0,3300.0,100.0,0.1870380898237635,0.004071661237785016,0.8985551798339994,0.9811320754716981
671,Turismo,Guía Oficial de Turismo,Cevatur Ica,Ica          ,Instituto,Privada,3.0,3300.0,100.0,0.0,NO,6.0,6.0,16.0,False,True,False,False,3.0,1672.5,3300.0,100.0,0.10848967216221338,0.004071661237785016,0.8985551798339994,0.9811320754716981
672,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Administración de Servicios de Hostelería,Cevatur Perú,Lima         ,Instituto,Privada,3.0,,92.0,2098.0,SI,37.0,40.0,240.0,False,False,True,False,3.0,2098.0,2200.0,92.0,0.18912260754216412,0.003745928338762215,0.9323701198893329,0.9811320754716981
673,Turismo,Guía Oficial de Turismo,Cevatur Perú,Lima         ,Instituto,Privada,3.0,,80.0,0.0,SI,24.0,30.0,112.0,False,True,True,False,3.0,1672.5,820.0,80.0,0.10848967216221338,0.003257328990228013,0.9747924992314786,0.9811320754716981
674,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Administración de Servicios de Hostelería,Cevatur Perú Chiclayo,Lambayeque   ,Instituto,Privada,3.0,,88.0,0.0,SI,39.0,44.0,132.0,False,True,True,False,3.0,2087.0,2200.0,88.0,0.1870380898237635,0.0035830618892508143,0.9323701198893329,0.9811320754716981
675,"Administración de Servicios Turísticos, Hotelería y Gastronomía","Administración de Hoteles, Restaurantes y Afines",Cevatur Trujillo,La Libertad  ,Instituto,Privada,3.0,2800.0,0.0,0.0,SI,0.0,0.0,0.0,False,True,False,True,3.0,2087.0,2800.0,88.0,0.1870380898237635,0.0035830618892508143,0.9139256071318783,0.9811320754716981
676,Turismo,Guía Oficial de Turismo,Cevatur Trujillo,La Libertad  ,Instituto,Privada,3.0,2800.0,0.0,0.0,SI,0.0,0.0,0.0,False,True,False,True,3.0,1672.5,2800.0,85.0,0.10848967216221338,0.0034609120521172636,0.9139256071318783,0.9811320754716981
677,Educación Artística,Educación Artística,Chabuca Granda,Apurímac     ,Instituto,Pública,5.0,200.0,0.0,0.0,SI,0.0,0.0,0.0,False,True,False,True,5.0,1100.0,200.0,88.0,0.0,0.0035830618892508143,0.9938518290808485,0.9433962264150944
678,Educación Artística,Educación Musical,Chabuca Granda,Apurímac     ,Instituto,Pública,5.0,200.0,0.0,0.0,SI,0.0,0.0,0.0,False,True,False,True,5.0,1100.0,200.0,88.0,0.0,0.0035830618892508143,0.9938518290808485,0.9433962264150944
